RUSBag,RUSMaxBag,RUSVoteBag
0.8116,0.8889,0.8871
0.7353,0.7813,0.7778
0.7671,0.7639,0.7778
0.803,0.8254,0.8689
0.7368,0.7941,0.7879
0.7089,0.7125,0.7432
0.7467,0.7534,0.8116
0.806,0.7941,0.8525
0.7465,0.8281,0.791
0.8108,0.8082,0.8116
0.7429,0.7879,0.7879
0.7564,0.8286,0.8254
0.6923,0.8,0.8
0.8133,0.8714,0.8333
0.8088,0.7941,0.8438
0.7284,0.8194,0.8382
0.6914,0.7368,0.7273
0.8243,0.8026,0.8472
0.686,0.75,0.7403
0.7632,0.8194,0.7778
0.7179,0.7361,0.7681
0.7576,0.8197,0.8197
0.7467,0.7971,0.8209
0.8333,0.8254,0.8983
0.7671,0.7714,0.871
0.7949,0.7848,0.8158
0.831,0.8594,0.871
0.7917,0.7971,0.8235
0.806,0.8116,0.8154
0.7229,0.7564,0.7763
0.72,0.7183,0.7385
0.7867,0.8194,0.8429
0.7195,0.7375,0.8169
0.7887,0.7887,0.8281
0.7632,0.7973,0.8169
0.7375,0.7733,0.8082
0.7703,0.8507,0.8594
0.7867,0.7917,0.7826
0.8507,0.8485,0.8485
0.7838,0.8507,0.8769
0.7317,0.7821,0.7973
0.76,0.8028,0.8261
0.6962,0.7237,0.7432
0.7,0.7467,0.7273
0.7945,0.8333,0.8261
0.8209,0.8308,0.8548
0.8028,0.8281,0.8485
0.8356,0.8841,0.9104
0.72,0.7606,0.7465
0.7838,0.8333,0.8143
0.7632,0.76,0.8143
0.7838,0.8116,0.8507
0.7284,0.725,0.8056
0.803,0.8814,0.8621
0.7308,0.75,0.7403
0.7714,0.8182,0.8525
0.7432,0.7746,0.7794
0.7333,0.7671,0.7941
0.8,0.7895,0.8451
0.7342,0.7703,0.806
0.8056,0.8657,0.8286
0.75,0.7826,0.8154
0.8116,0.8116,0.8594
0.8378,0.8714,0.9104
0.7625,0.8,0.8286
0.7342,0.7945,0.8261
0.679,0.7333,0.7534
0.7778,0.8462,0.8462
0.725,0.7733,0.7808
0.8082,0.8286,0.8636
0.8108,0.8194,0.8507
0.8209,0.875,0.9091
0.7733,0.8169,0.8169
0.8806,0.8551,0.8939
0.7237,0.7403,0.7534
0.7143,0.75,0.7639
0.7761,0.8125,0.8525
0.8382,0.8382,0.8382
0.7681,0.803,0.791
0.7867,0.8143,0.8286
0.8028,0.7703,0.8143
0.8133,0.7895,0.831
0.8158,0.8493,0.8657
0.7945,0.8382,0.8261
0.7568,0.806,0.8387
0.7027,0.7391,0.8033
0.6932,0.7143,0.7403
0.7439,0.7895,0.8
0.6914,0.7333,0.7606
0.725,0.75,0.7971
0.7639,0.7639,0.8088
0.7403,0.7703,0.7703
0.8143,0.8358,0.8769
0.7534,0.8182,0.7612
0.75,0.7778,0.8235
0.7662,0.831,0.8169
0.7612,0.7761,0.8167
0.6711,0.7083,0.8033
0.8028,0.8906,0.8889
0.7703,0.8261,0.7971
0.8056,0.8056,0.8169
0.7403,0.7917,0.76
0.8406,0.8529,0.875
0.8028,0.7857,0.8209
0.7941,0.8571,0.8983
0.7763,0.8082,0.7973
0.7895,0.8286,0.8571
0.9016,0.8594,0.9167
0.7692,0.8108,0.7792
0.6962,0.7333,0.7297
0.8382,0.8507,0.875
0.7568,0.7857,0.8525
0.6585,0.7067,0.7429
0.6941,0.7308,0.7432
0.7794,0.7941,0.8361
0.8133,0.8243,0.8571
0.8108,0.8108,0.8286
0.6875,0.7397,0.75
0.7089,0.7568,0.8
0.7879,0.8088,0.8667
0.7895,0.7973,0.8082
0.7681,0.8095,0.8281
0.7342,0.7308,0.8261
0.7045,0.7531,0.7531
0.8219,0.8108,0.8235
0.8,0.8235,0.8235
0.7403,0.7368,0.7808
0.7887,0.8281,0.8387
0.7215,0.7467,0.7568
0.7429,0.7681,0.7969
0.8,0.8571,0.8615
0.7838,0.7917,0.7671
0.7284,0.7917,0.8082
0.8235,0.875,0.8235
0.6988,0.7037,0.7917
0.8108,0.8219,0.831
0.8611,0.8857,0.9118
0.7073,0.7733,0.7733
0.6905,0.75,0.7808
0.8154,0.8308,0.8361
0.7532,0.7703,0.7838
0.7808,0.8,0.873
0.7722,0.8026,0.8194
0.8088,0.8182,0.8571
0.7867,0.8382,0.8429
0.7792,0.8194,0.8806
0.8429,0.8551,0.9048
0.7195,0.831,0.76
0.7403,0.7568,0.7794
0.7846,0.7692,0.85
0.7895,0.8108,0.8169
0.8358,0.8182,0.8889
0.8143,0.8358,0.8382
0.7465,0.7571,0.8
0.7917,0.8438,0.8116
0.7763,0.7973,0.8143
0.7467,0.7534,0.8209
0.8261,0.7808,0.875
0.6757,0.7612,0.75
0.7867,0.7808,0.7917
0.725,0.7632,0.7432
0.7564,0.7632,0.8194
0.7895,0.8788,0.8939
0.8286,0.8636,0.8485
0.7381,0.7595,0.7692
0.7568,0.75,0.7971
0.7436,0.7403,0.7808
0.6548,0.7089,0.6795
0.6905,0.8082,0.7534
0.8028,0.8235,0.8636
0.6941,0.7792,0.7632
0.7568,0.7778,0.8209
0.725,0.7733,0.7838
0.7571,0.803,0.7761
0.8438,0.8281,0.8571
0.7089,0.7273,0.7857
0.8,0.8451,0.8406
0.7262,0.75,0.7625
0.7625,0.7703,0.8108
0.7821,0.8026,0.8219
0.7308,0.7632,0.7887
0.8429,0.8529,0.8806
0.726,0.7714,0.7465
0.6914,0.7051,0.7606
0.7568,0.7857,0.8209
0.8485,0.875,0.8852
0.7794,0.8154,0.7879
0.7534,0.8088,0.7971
0.7568,0.8,0.8209
0.7595,0.7625,0.8082
0.6875,0.7681,0.7857
0.6883,0.7647,0.7123
0.873,0.8261,0.9
0.7284,0.7973,0.7568
0.7917,0.7887,0.8235
0.7662,0.9077,0.8769
0.7949,0.8592,0.8493
0.7917,0.8235,0.8143
0.7403,0.7838,0.7971
0.8169,0.8,0.8462
0.7013,0.72,0.7794
0.8333,0.8696,0.8529
0.76,0.76,0.8143
0.8281,0.8833,0.8413
0.7632,0.76,0.875
0.7808,0.8028,0.8769
0.7571,0.8281,0.7813
0.7808,0.7778,0.8438
0.7317,0.7808,0.7945
0.7375,0.8056,0.7945
0.7692,0.7733,0.8507
0.7308,0.76,0.7808
