Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.9571,0.8354,0.8519,0.9167,0.913,0.8933,0.8462,0.9452,0.9167,0.9571,0.9559,0.9571
0.9189,0.8293,0.8313,0.9412,0.8816,0.8846,0.8434,0.9079,0.9286,0.9437,0.9286,0.9324
0.9538,0.8701,0.8947,0.9531,0.8904,0.8734,0.8701,0.9306,0.9178,0.9067,1.0,0.9853
0.9524,0.9155,0.9437,0.9429,0.9714,0.9,0.8889,0.9583,0.9437,0.9583,0.9857,0.973
0.9571,0.9444,0.9079,0.9296,0.9444,0.8974,0.8987,0.92,0.9577,0.9444,0.9459,0.9467
0.8889,0.8148,0.7727,0.8904,0.8442,0.85,0.8046,0.8947,0.9701,0.9444,0.9429,0.971
0.9474,0.9091,0.8846,0.9306,0.9459,0.9221,0.8875,0.9452,0.9577,0.9583,0.9722,0.9714
0.9851,0.9254,0.8667,0.9545,0.9697,0.9333,0.8974,0.971,0.9841,0.971,0.9848,0.9571
1.0,0.9254,0.9315,0.9412,0.9714,0.9722,0.9211,0.9714,0.9718,0.9589,0.9861,0.9857
0.8831,0.7976,0.7778,0.8313,0.8293,0.8353,0.7912,0.8333,0.8519,0.8889,0.8846,0.8659
0.9296,0.8519,0.8333,0.9167,0.9231,0.9103,0.8795,0.9114,0.9324,0.9444,0.9315,0.9324
0.9167,0.8816,0.9079,0.8919,0.8933,0.8974,0.8974,0.9067,0.9429,0.9079,0.9324,0.9444
0.9167,0.9315,0.9221,0.9718,0.9571,0.9351,0.925,0.9589,0.973,0.9595,0.9459,0.9571
0.9437,0.8734,0.8734,0.9565,0.92,0.9211,0.8889,0.9221,0.9315,0.9452,0.9589,0.9459
0.9437,0.8784,0.9125,0.9583,0.9333,0.9012,0.8675,0.973,0.973,0.9861,0.96,0.9859
0.8986,0.8873,0.8608,0.8933,0.9155,0.8519,0.8256,0.8947,0.9014,0.9189,0.9296,0.9067
0.9545,0.9394,0.8608,0.9412,0.913,0.92,0.8765,0.9189,0.9306,0.9851,0.9565,0.9286
0.9577,0.9231,0.9114,0.9054,0.9714,0.9351,0.8902,0.9342,0.9342,0.9726,0.9577,0.9857
0.9565,0.9014,0.8701,0.92,0.9306,0.9091,0.8554,0.9467,0.9437,0.9342,0.9474,0.9467
0.9265,0.8933,0.8514,0.8873,0.8378,0.8375,0.8023,0.8667,0.9143,0.9333,0.9571,0.9315
0.9565,0.8861,0.8537,0.9221,0.9315,0.9221,0.9114,0.9595,0.96,0.9452,0.9726,0.9583
0.971,0.9583,0.8875,0.9571,0.9452,0.9125,0.869,0.9351,0.9565,0.9583,0.9315,0.9467
0.9589,0.8846,0.9079,0.9583,0.9437,0.9103,0.9012,0.9589,0.9726,0.9452,0.9459,0.9589
0.875,0.8947,0.8537,0.8974,0.9114,0.8659,0.878,0.8987,0.9459,0.9459,0.9595,0.9211
0.942,0.9079,0.8846,0.9296,0.9342,0.9221,0.8675,0.9452,0.9459,0.9577,0.9571,0.9714
0.9403,0.9155,0.8933,0.9286,0.9706,0.92,0.8947,0.9444,0.9444,0.9452,0.9577,0.9577
0.9306,0.9143,0.8767,0.92,0.9275,0.9041,0.8718,0.9306,0.9306,0.9296,0.9178,0.9296
0.8919,0.8519,0.8831,0.8961,0.8701,0.8875,0.8452,0.8961,0.9211,0.9114,0.92,0.9324
0.9333,0.8846,0.8765,0.8904,0.9333,0.8795,0.8588,0.9231,0.9481,0.9241,0.961,0.9231
0.9403,0.8421,0.825,0.9077,0.8971,0.8816,0.875,0.9167,0.942,0.9178,0.9189,0.9014
0.9571,0.9178,0.8831,0.9315,0.9178,0.8974,0.8861,0.9333,0.9459,0.9467,0.9467,0.9481
0.9577,0.85,0.8846,0.9565,0.9452,0.9342,0.9351,0.973,0.9726,0.9859,0.9863,0.9722
0.9385,0.9286,0.8987,0.9315,0.9296,0.9091,0.8861,0.9333,0.9589,0.9589,0.9444,0.9467
0.9552,0.875,0.9041,0.8701,0.942,0.9211,0.9079,0.92,0.9459,0.9444,0.9583,0.9437
0.9545,0.8904,0.9054,0.9559,0.9559,0.9167,0.8846,0.9577,0.9306,0.9444,0.9342,0.9577
0.9552,0.8642,0.8987,0.9595,0.9726,0.9359,0.881,0.9733,0.9467,0.9589,0.9861,0.9467
0.8947,0.8193,0.7955,0.8608,0.8734,0.8333,0.7865,0.8642,0.9067,0.9079,0.878,0.9067
0.9167,0.875,0.8889,0.8904,0.9286,0.9067,0.8701,0.9306,0.9178,0.9565,0.9296,0.9583
0.9412,0.8023,0.8608,0.9315,0.9306,0.8961,0.9091,0.9296,0.9853,1.0,0.9848,0.971
0.9143,0.8625,0.859,0.9067,0.9028,0.8481,0.8452,0.9067,0.9155,0.9028,0.8974,0.9091
0.9583,0.8765,0.85,0.9853,0.92,0.8846,0.878,0.9718,0.9718,1.0,0.9571,0.9589
0.9437,0.8831,0.9178,0.9452,0.9459,0.9125,0.878,0.9351,0.973,0.973,0.92,0.9726
0.971,0.92,0.8987,0.9595,0.9589,0.8889,0.8675,0.9467,0.9571,0.9726,0.9726,1.0
0.9565,0.9429,0.9306,0.9545,0.8919,0.9079,0.9103,0.9459,0.9444,0.9444,0.9701,0.9861
0.9444,0.8974,0.8734,0.9091,0.9067,0.878,0.8372,0.9342,0.92,0.9324,0.8861,0.9221
0.9836,0.9324,0.8767,0.9286,0.9697,0.9315,0.8718,1.0,0.9853,0.9565,0.9846,0.9851
0.9067,0.85,0.8642,0.9306,0.8947,0.8488,0.8488,0.8902,0.9221,0.9091,0.9359,0.8987
0.9286,0.8767,0.8986,0.9296,0.9275,0.9324,0.9079,0.9452,0.9538,0.9296,0.9437,0.9714
0.9552,0.9143,0.8406,0.9683,0.9394,0.9296,0.8933,0.9701,0.9848,1.0,0.9706,0.9701
0.8875,0.8395,0.8734,0.8846,0.9231,0.9,0.8889,0.9103,0.9091,0.92,0.9,0.9342
0.9385,0.88,0.8831,0.9077,0.8806,0.8718,0.8571,0.9155,0.9412,0.9306,0.9429,0.9296
0.9315,0.9079,0.8537,0.9333,0.8861,0.8765,0.8537,0.9211,0.9583,0.9296,0.9583,0.9726
1.0,0.8554,0.8452,0.9178,0.9718,0.9221,0.9114,0.9583,0.9726,0.9577,0.9722,0.9444
0.8816,0.859,0.8554,0.8718,0.8816,0.8554,0.8353,0.8642,0.9459,0.9342,0.9231,0.9342
0.9844,0.9365,0.9559,0.9851,0.9836,0.971,0.9437,0.9701,0.9853,0.9851,1.0,1.0
0.9701,0.9028,0.9306,0.9706,0.9429,0.9351,0.8765,0.9583,0.9853,0.9861,0.9851,0.9718
0.9054,0.859,0.8415,0.9079,0.9189,0.8765,0.8675,0.9103,0.9079,0.9324,0.92,0.8974
0.8784,0.8462,0.8642,0.9143,0.8831,0.8659,0.8471,0.8846,0.875,0.8961,0.8961,0.9103
0.9688,0.9028,0.9167,0.9254,0.9688,0.8919,0.8961,0.9565,0.9853,1.0,0.9559,0.9701
0.9559,0.8462,0.8718,0.8904,0.9028,0.8987,0.8765,0.9079,0.9444,0.9718,0.9437,0.9437
0.9589,0.8902,0.8625,0.9079,0.8987,0.9351,0.8675,0.96,0.9861,0.9863,0.961,0.9726
0.8611,0.8358,0.8312,0.8592,0.8382,0.8421,0.8205,0.8857,0.9275,0.9,0.9,0.913
0.9697,0.88,0.8235,0.9452,0.9412,0.9114,0.9,0.9459,0.9452,0.9855,0.971,0.9855
0.9571,0.859,0.9079,0.971,0.9296,0.8987,0.92,0.9577,0.9726,0.9857,0.9857,0.9722
0.9577,0.9324,0.8933,0.9589,0.9452,0.9114,0.9,0.9221,0.9351,0.9481,0.9474,0.9474
0.9189,0.8861,0.8718,0.9178,0.9459,0.9221,0.8889,0.9333,0.9315,0.9571,0.9726,0.9459
0.9559,0.9054,0.8861,0.9701,0.9565,0.9342,0.9091,0.9583,0.9459,0.9324,0.9726,0.9583
0.9565,0.8831,0.8462,0.8933,0.9041,0.9306,0.85,0.9178,0.9437,0.9583,0.9315,0.9067
0.9067,0.8767,0.8718,0.9178,0.92,0.8765,0.8588,0.9221,0.9315,0.9315,0.9333,0.9342
0.9855,0.9178,0.92,0.9701,0.9565,0.9589,0.9359,0.9861,1.0,1.0,1.0,0.9848
0.9571,0.8101,0.859,0.9178,0.8816,0.875,0.8372,0.8974,0.9155,0.9589,0.9079,0.9324
0.9315,0.8642,0.8902,0.9306,0.9189,0.8974,0.8675,0.9221,0.9067,0.9231,0.8987,0.8947
0.9851,0.9571,0.9211,0.9571,0.9718,0.9474,0.9351,0.96,0.9861,0.973,0.9855,0.9861
0.9355,0.8714,0.8816,0.9014,0.9403,0.8933,0.8831,0.942,0.9412,0.9701,0.9841,0.9697
0.9189,0.8816,0.8919,0.8933,0.8933,0.8875,0.8537,0.8846,0.9286,0.9189,0.9178,0.9444
0.9595,0.9221,0.8765,0.9342,0.9324,0.9,0.8675,0.9459,0.9595,0.9861,0.9459,0.9861
0.9538,0.8732,0.8451,0.9385,0.9545,0.8919,0.8947,0.9559,0.9437,0.9583,0.9848,0.9552
0.9412,0.9054,0.8987,0.9429,0.9385,0.9296,0.9067,0.9444,0.9412,0.9714,0.9701,0.9706
0.9701,0.8734,0.9189,0.9444,0.9315,0.9079,0.8659,0.9324,0.92,0.9178,0.9583,0.9589
0.8718,0.8214,0.8313,0.8784,0.8625,0.8395,0.8182,0.8875,0.9221,0.9221,0.9211,0.9351
0.9211,0.859,0.8831,0.9189,0.8831,0.878,0.8471,0.92,0.9577,0.9342,0.9467,0.9306
0.9846,0.9286,0.9028,0.9848,0.9851,0.92,0.8889,0.9855,0.9571,0.9857,0.9851,0.9853
0.9714,0.8846,0.9351,0.9722,0.9714,0.96,0.9359,0.973,0.9726,0.9865,0.9718,0.9737
0.9853,0.8831,0.8974,0.9865,0.9857,0.9481,0.9367,0.9865,1.0,0.9855,0.973,0.9867
0.9524,0.8442,0.8333,0.9275,0.9104,0.8947,0.8375,0.9286,0.9552,0.9167,0.9577,0.9429
0.8857,0.88,0.8734,0.8873,0.9143,0.8415,0.8452,0.9054,0.9444,0.9444,0.9583,0.9315
0.8841,0.825,0.8272,0.859,0.8378,0.825,0.8313,0.88,0.8571,0.9189,0.9041,0.9178
0.9559,0.8767,0.8462,0.9701,0.942,0.9041,0.8625,0.9429,0.9403,0.9577,0.9706,0.9437
0.9701,0.8312,0.8481,0.8947,0.9054,0.8718,0.8554,0.8875,0.9178,0.9231,0.92,0.9429
0.9028,0.8537,0.8795,0.8718,0.8987,0.8706,0.8409,0.8916,0.9,0.9241,0.9,0.961
0.9315,0.8919,0.8701,0.9306,0.9306,0.9452,0.9114,0.9324,0.9296,0.9306,0.9437,0.9565
0.9701,0.9189,0.8831,0.9718,0.9565,0.9467,0.9114,0.9726,0.9722,0.9853,0.9571,1.0
0.8933,0.8101,0.8125,0.88,0.8293,0.8046,0.8046,0.8734,0.8974,0.9211,0.9091,0.9211
0.942,0.8667,0.8947,0.8933,0.9028,0.9178,0.8947,0.9054,0.9444,0.9286,0.9306,0.9315
0.9014,0.8493,0.8442,0.8889,0.8986,0.9041,0.8354,0.8904,0.9429,0.9265,0.9403,0.9143
0.9265,0.8451,0.8784,0.9692,0.942,0.9324,0.8961,0.9577,0.9552,0.9706,0.9565,0.971
0.9306,0.8095,0.8831,0.9577,0.92,0.9091,0.8333,0.9324,0.9467,0.9459,0.9722,0.9722
0.9667,0.8904,0.8971,0.9839,0.9692,0.92,0.9103,0.9444,0.9846,0.9848,0.9851,0.9853
0.9851,0.85,0.8235,0.9583,0.9589,0.9359,0.9114,0.9865,0.9722,0.9595,0.9718,1.0
0.9444,0.9054,0.8974,0.9178,0.9565,0.9211,0.9125,0.9467,0.9552,0.9571,0.942,0.9714
0.9306,0.8333,0.8537,0.9189,0.8831,0.8861,0.8554,0.875,0.8831,0.9091,0.8961,0.9324
0.9342,0.8588,0.8659,0.9467,0.9342,0.8795,0.869,0.9359,0.9231,0.9474,0.973,0.9467
0.8971,0.8696,0.8904,0.9697,0.9531,0.9155,0.8462,0.942,0.9701,0.9565,0.942,0.9683
0.9231,0.863,0.8333,0.9155,0.9286,0.9189,0.9189,0.9178,0.9429,0.9315,0.971,0.9315
0.9683,0.9,0.8701,0.9855,0.9697,0.9067,0.9189,0.9853,0.9851,1.0,0.9571,0.9571
0.9324,0.8784,0.8608,0.9091,0.9054,0.9211,0.8875,0.9189,0.9296,0.9342,0.92,0.9467
0.9701,0.9167,0.8933,0.942,0.9577,0.9315,0.9079,0.9315,0.9571,0.9306,0.9571,0.9571
0.9857,0.9067,0.92,0.9444,0.9452,0.9342,0.8987,0.9595,0.9589,0.9857,0.9452,0.9595
0.9,0.8608,0.8375,0.875,0.9014,0.8734,0.8642,0.9167,0.8816,0.9054,0.8861,0.9067
0.9589,0.9231,0.9091,0.9041,0.9714,0.8795,0.869,0.9091,0.9079,0.9125,0.9474,0.9467
0.942,0.88,0.9103,0.9067,0.8961,0.8588,0.8554,0.9211,0.9054,0.9595,0.9565,0.9091
0.9091,0.92,0.8571,0.9333,0.8875,0.9012,0.8506,0.925,0.9467,0.9474,0.96,0.9733
0.9552,0.9211,0.8889,0.9286,0.9403,0.9067,0.875,0.9444,0.9545,0.9437,0.9452,1.0
0.92,0.9054,0.8272,0.9306,0.9189,0.9221,0.8554,0.973,0.9577,0.9571,0.9726,0.9855
0.9552,0.9412,0.8701,0.9028,0.9155,0.9079,0.8961,0.9452,0.92,0.92,0.9306,0.9315
0.9683,0.9296,0.9189,0.942,0.9394,0.9306,0.9079,0.9701,0.9848,0.9701,0.9848,0.9697
0.9211,0.8947,0.8875,0.8974,0.8987,0.8471,0.8554,0.9211,0.9211,0.9211,0.9605,0.9342
0.9571,0.9041,0.9459,0.9444,0.9718,0.8875,0.8987,0.92,0.9861,0.9589,0.9726,0.9595
0.8684,0.8421,0.8571,0.8649,0.8481,0.8519,0.7955,0.8701,0.9429,0.8933,0.9054,0.9315
0.9444,0.8625,0.8684,0.942,0.9178,0.8519,0.8395,0.9143,0.9028,0.9333,0.9091,0.9459
0.9722,0.8734,0.8462,0.9571,0.9571,0.8974,0.8625,0.9583,0.973,0.9861,0.9474,0.9722
0.9365,0.9041,0.8816,0.9296,0.9118,0.8767,0.9041,0.942,0.9286,0.942,0.9538,0.9559
0.942,0.8767,0.878,0.9571,0.9429,0.8987,0.8765,0.9459,0.9351,0.9452,0.9589,0.9444
0.8933,0.8784,0.8919,0.8986,0.8889,0.8415,0.8395,0.9296,0.9559,0.9333,0.9452,0.9452
0.9178,0.8462,0.8272,0.8889,0.9333,0.8875,0.8675,0.9467,0.9211,0.9595,0.9459,0.9221
0.9545,0.9178,0.8765,0.9296,0.9306,0.875,0.8642,0.9103,0.9178,0.9589,0.9589,0.9583
0.9848,0.92,0.88,0.971,0.9714,0.9342,0.9,0.9595,0.9718,0.9859,0.9855,0.9863
0.9559,0.8734,0.8205,0.9167,0.9296,0.92,0.8765,0.9054,0.9178,0.9571,0.942,0.92
0.9412,0.9385,0.8933,0.88,0.8889,0.8684,0.8608,0.9155,0.9437,0.9577,0.9412,0.9437
0.9429,0.9079,0.8831,0.9577,0.9167,0.9189,0.8987,0.9324,0.9583,0.9595,0.9444,0.9452
0.9565,0.9211,0.9067,0.9221,0.9221,0.9114,0.8902,0.8987,0.9211,0.9474,0.9231,0.9324
0.9722,0.9333,0.8916,0.9459,0.9595,0.9375,0.9024,0.961,0.961,0.9865,0.9863,0.96
0.9677,0.9,0.8889,0.942,0.9385,0.9189,0.9315,0.9444,0.971,0.9846,0.9583,0.9571
0.9565,0.8148,0.8554,0.9296,0.9429,0.9091,0.8276,0.92,0.9452,0.9315,0.9718,0.9589
0.9846,0.8571,0.8684,0.9714,0.9545,0.9189,0.9067,0.9701,0.9706,0.9853,0.9714,0.9565
0.8649,0.8718,0.8462,0.8537,0.8684,0.8675,0.8588,0.8875,0.8974,0.9067,0.92,0.8831
0.9452,0.8391,0.8452,0.9452,0.9589,0.8571,0.8295,0.9211,0.9577,0.9342,0.9079,0.9863
0.9714,0.9125,0.9231,0.9286,0.9444,0.9605,0.9367,0.9459,0.9589,0.9595,0.9726,0.9589
0.9437,0.9067,0.9079,0.9167,0.9583,0.9091,0.8974,0.9333,0.9577,0.9722,0.9577,0.9583
0.9155,0.8442,0.8701,0.9412,0.9178,0.8831,0.8701,0.8933,0.9028,0.9286,0.9155,0.9178
0.9545,0.8667,0.8354,0.9041,0.9167,0.875,0.8642,0.9155,0.9041,0.9452,0.9589,0.9306
0.9306,0.8625,0.8831,0.9178,0.8933,0.8659,0.8235,0.9324,0.9211,0.9459,0.9583,0.9474
0.9385,0.8462,0.8889,0.9531,0.9524,0.9275,0.8649,0.9531,0.9688,0.9559,0.9688,0.9846
0.9571,0.8933,0.8608,0.9577,0.9178,0.9189,0.8846,0.9718,0.9848,0.9701,0.9589,0.9718
0.9444,0.9565,0.9351,0.9474,0.9211,0.9221,0.9231,0.9467,0.9351,0.9221,0.9221,0.9333
0.8933,0.8831,0.8961,0.9211,0.9178,0.8987,0.8902,0.9211,0.9315,0.9452,0.9726,0.9211
0.8974,0.8846,0.8675,0.92,0.8961,0.8571,0.8506,0.8875,0.9481,0.9359,0.9211,0.9351
0.9286,0.8219,0.9155,0.9155,0.9286,0.8875,0.8706,0.9178,0.9315,0.9444,0.9467,0.9091
0.9559,0.8933,0.8846,0.9857,0.9324,0.9231,0.9221,0.9595,0.9577,0.9722,0.9444,0.9306
0.9538,0.8649,0.8974,0.9565,0.913,0.859,0.85,0.9296,0.9701,0.9855,0.92,0.9722
0.9254,0.8537,0.8333,0.8784,0.9275,0.9211,0.9024,0.9452,0.9189,0.9054,0.9211,0.9211
0.9324,0.9103,0.8434,0.9718,0.9333,0.9,0.9,0.9474,0.9474,0.9452,0.9459,0.9861
0.9324,0.9067,0.8537,0.9583,0.9333,0.8902,0.8506,0.9,0.9333,0.9595,0.9351,0.9589
0.9524,0.8986,0.8592,0.9242,0.9242,0.9143,0.8919,0.9143,0.9437,0.9559,0.9394,0.9412
0.8904,0.9054,0.8608,0.9189,0.875,0.8861,0.8571,0.9054,0.8889,0.9014,0.9067,0.92
0.9118,0.9028,0.8395,0.9538,0.9571,0.9103,0.9351,0.9859,1.0,0.9861,0.9589,0.9583
0.8701,0.8235,0.8161,0.8519,0.8395,0.8333,0.8046,0.875,0.9067,0.9091,0.8734,0.92
0.9242,0.863,0.8493,0.9429,0.9,0.8816,0.8608,0.9306,0.9286,0.9437,0.9412,0.9429
0.9701,0.9054,0.9054,0.9545,0.942,0.8961,0.8861,0.9722,0.9688,0.9571,0.9444,0.9444
0.9054,0.8514,0.8571,0.9315,0.9275,0.869,0.8675,0.8961,0.9589,0.9437,0.9429,0.9324
0.9733,0.8718,0.925,0.9863,0.9333,0.9114,0.881,0.9605,0.9859,0.9859,0.9861,0.9589
0.8611,0.8205,0.7952,0.8971,0.8889,0.875,0.8313,0.8831,0.875,0.9091,0.8947,0.8846
0.9091,0.8481,0.8235,0.9079,0.8718,0.8353,0.8111,0.8659,0.8537,0.8675,0.9,0.8861
0.913,0.8553,0.8684,0.9167,0.971,0.8831,0.8537,0.9315,0.9324,0.9853,0.9701,0.9306
0.9079,0.9467,0.9342,0.9467,0.9067,0.9,0.9,0.9342,0.9114,0.9474,1.0,0.96
0.9265,0.8551,0.8182,0.9,0.9265,0.9429,0.8861,0.9143,0.9552,0.9846,0.9275,0.9583
0.9429,0.9,0.88,0.971,0.9429,0.9189,0.8875,0.9315,0.9589,0.9714,0.9571,0.9714
0.9552,0.9403,0.8649,0.8971,0.9531,0.8889,0.9155,0.9697,0.9848,0.9851,0.9692,0.9844
0.9211,0.8875,0.8889,0.942,0.9324,0.9114,0.9125,0.9221,0.9324,0.9459,0.9577,0.9589
0.9577,0.8553,0.9333,0.9254,0.9315,0.9,0.8902,0.9351,0.9324,0.9474,0.9595,0.9474
0.9571,0.9091,0.8987,0.9211,0.92,0.8987,0.8916,0.9211,0.9359,0.9571,0.9211,0.9459
0.9565,0.859,0.7952,0.9028,0.9583,0.8765,0.8415,0.9067,0.9189,0.9437,0.9595,0.9437
0.9143,0.8659,0.8471,0.92,0.9091,0.8875,0.8875,0.8987,0.9459,0.9091,0.9589,0.9079
0.9452,0.9189,0.92,0.9559,0.9714,0.9359,0.9351,0.9726,0.9467,0.9595,0.9726,0.973
0.9,0.8732,0.8235,0.8553,0.9028,0.8293,0.8452,0.8734,0.9041,0.9079,0.9155,0.9296
0.9265,0.8718,0.8701,0.9,0.913,0.9067,0.859,0.9167,0.9254,0.9296,0.9538,0.9041
0.9839,0.9296,0.9306,0.9697,0.9538,0.9429,0.9324,0.9714,0.9851,1.0,1.0,0.9722
0.9437,0.859,0.8831,0.9211,0.9067,0.8434,0.8353,0.8765,0.9211,0.9091,0.878,0.9342
0.9459,0.88,0.8987,0.9859,0.9718,0.9342,0.9103,0.9589,0.9718,0.9861,0.9718,0.9859
0.9091,0.8947,0.8571,0.9231,0.9231,0.9231,0.8675,0.9231,0.9333,0.961,0.9595,0.973
0.9143,0.9067,0.8961,0.9589,0.9189,0.8987,0.878,0.9722,0.9861,0.9714,0.9855,0.9714
0.9306,0.8861,0.8933,0.9583,0.9571,0.9231,0.878,0.9474,0.9452,0.9722,0.9467,0.9595
0.9839,0.9014,0.9028,0.9552,0.9683,0.9437,0.9324,0.9853,0.9841,1.0,1.0,1.0
0.9565,0.9155,0.9067,0.9538,0.9692,0.9577,0.9221,0.9577,0.9846,0.9714,0.9857,0.9857
0.9697,0.92,0.9091,0.9722,0.9851,0.9474,0.9211,0.9726,0.9726,0.9583,0.9865,0.9718
0.863,0.8571,0.7952,0.859,0.8767,0.8375,0.8049,0.8571,0.9167,0.9028,0.8933,0.8533
0.9559,0.9054,0.9,0.942,0.9296,0.9067,0.9103,0.9211,0.9577,0.9718,0.9857,0.971
0.9412,0.8481,0.88,0.9054,0.9178,0.8701,0.8701,0.9054,0.9714,0.9306,0.9275,0.971
0.9189,0.8519,0.8846,0.9103,0.8974,0.878,0.8391,0.9012,0.9103,0.8974,0.8961,0.8974
0.9143,0.8718,0.8608,0.9437,0.8933,0.8933,0.859,0.9167,0.9571,0.942,0.9315,0.9559
0.9718,0.875,0.8488,0.9726,0.9444,0.8902,0.8889,0.973,0.9861,0.973,0.9595,0.9726
0.9315,0.8442,0.875,0.8987,0.8974,0.881,0.8588,0.9103,0.9114,0.9351,0.9467,0.9467
0.9275,0.8714,0.8684,0.9538,0.9296,0.8947,0.9079,0.9324,0.9583,0.9437,1.0,0.9583
0.9296,0.9178,0.9221,0.9583,0.9189,0.9221,0.878,0.9595,0.9589,0.96,0.9474,0.9459
0.9444,0.9103,0.8947,0.9444,0.9571,0.9333,0.9231,0.9722,1.0,0.9861,1.0,1.0
0.9041,0.8933,0.8571,0.9143,0.9315,0.8987,0.8987,0.92,0.9315,0.9545,0.9444,0.9444
0.9833,0.9063,0.942,0.9545,0.9677,0.9211,0.8933,0.9714,0.9714,1.0,0.9583,0.9726
0.9306,0.8718,0.8608,0.9054,0.9054,0.8734,0.8861,0.8961,0.9324,0.9054,0.9429,0.9054
0.9565,0.8947,0.8701,0.8933,0.8919,0.8831,0.8333,0.9315,0.9444,0.9714,0.9315,0.9718
0.9155,0.8974,0.8372,0.9286,0.9571,0.9114,0.869,0.9481,0.9342,0.9726,0.9605,0.9452
0.9437,0.8608,0.8481,0.9275,0.9028,0.8625,0.8675,0.8961,0.9437,0.9114,0.92,0.9103
0.9459,0.8961,0.8875,0.92,0.9342,0.9012,0.8902,0.9351,0.9359,0.9595,0.9474,0.9726
0.9571,0.9155,0.8734,0.9718,0.9452,0.9452,0.9324,0.9571,0.9706,0.9718,0.9577,0.9714
0.9437,0.9054,0.9054,0.9067,0.8816,0.8765,0.8554,0.8974,0.9324,0.9452,0.9091,0.9467
0.8919,0.8889,0.8816,0.9167,0.8904,0.8902,0.8889,0.8987,0.9054,0.8919,0.9054,0.9178
0.8608,0.8025,0.7558,0.8205,0.8333,0.8193,0.8046,0.8701,0.9324,0.9041,0.9143,0.8734
0.9844,0.9178,0.9028,0.9706,0.9688,0.9324,0.8961,0.9459,0.9718,0.971,0.9714,0.9444
0.9286,0.8592,0.8625,0.8919,0.9189,0.8947,0.8625,0.9067,0.9189,0.9178,0.9577,0.9437
0.9178,0.8767,0.8276,0.9054,0.88,0.869,0.8391,0.8861,0.9474,0.9231,0.9054,0.9067
0.9538,0.9306,0.9028,0.9265,0.971,0.92,0.8961,0.9565,0.9718,0.9855,0.971,0.9718
0.942,0.8767,0.8701,0.9437,0.9178,0.8961,0.8659,0.9296,0.9583,0.9444,0.9467,0.9324
0.9429,0.9296,0.859,0.92,0.9324,0.8987,0.8987,0.9459,0.9437,0.9459,0.9333,0.9589
0.9701,0.8875,0.9103,0.9459,0.9315,0.9231,0.878,0.9342,0.9452,0.9315,0.9324,0.9459
0.9571,0.8718,0.8395,0.9054,0.9178,0.92,0.8659,0.9324,0.9315,0.9571,0.9857,0.9444
0.8933,0.825,0.8023,0.8462,0.8816,0.8415,0.8434,0.92,0.9189,0.8974,0.9306,0.9718
0.9275,0.8846,0.8904,0.9545,0.9412,0.9189,0.8961,0.9444,0.9706,0.9444,0.9589,0.9571
0.9429,0.9403,0.9189,0.9577,0.9701,0.9589,0.9079,0.9718,0.9722,0.9726,0.9571,0.971
0.8904,0.8312,0.8462,0.8889,0.8784,0.8608,0.8235,0.8947,0.8947,0.8961,0.9189,0.8846
0.9565,0.9079,0.8987,0.9041,0.913,0.8861,0.8659,0.9342,0.9315,0.9211,0.9211,0.9091
0.9859,0.9079,0.9,0.9571,0.9333,0.9359,0.9241,0.9467,0.9863,0.9722,0.9859,0.9861
0.9403,0.8933,0.8734,0.942,0.9306,0.9091,0.869,0.92,0.971,0.9459,0.9467,0.9306
0.9412,0.8904,0.88,0.9242,0.8986,0.8919,0.8933,0.9167,0.9286,0.9143,0.9155,0.9265
0.8765,0.8889,0.8202,0.8929,0.878,0.8588,0.8295,0.8795,0.9146,0.8929,0.9351,0.9146
0.8919,0.8205,0.8193,0.875,0.8649,0.8519,0.8313,0.8481,0.8649,0.9167,0.9178,0.8718
0.9589,0.9474,0.9221,0.9,0.9595,0.8902,0.8588,0.9474,0.9589,0.9589,0.9452,0.9583
0.9683,0.8608,0.8553,0.942,0.9014,0.8462,0.8193,0.9067,0.9315,0.942,0.9286,0.9286
0.9571,0.9167,0.8933,0.942,0.9583,0.9103,0.8889,0.9589,0.9589,0.9722,0.9467,0.9718
0.9265,0.9265,0.9028,0.9394,0.942,0.9091,0.8961,0.9444,0.9286,0.971,0.9577,0.9565
0.9714,0.92,0.9211,0.9437,0.942,0.9583,0.9221,0.96,0.9726,0.9855,1.0,0.9863
0.9437,0.9459,0.9091,0.9714,0.9589,0.9241,0.9114,0.9583,0.9706,1.0,0.9589,0.971
0.9565,0.9054,0.8933,0.971,0.9403,0.9211,0.8875,0.9571,0.9714,0.9857,0.9718,0.9714
0.9091,0.8214,0.8471,0.9114,0.8987,0.8706,0.8315,0.9,0.9136,0.9221,0.9474,0.9024
0.9394,0.9,0.8947,0.9571,0.9286,0.9079,0.8961,0.9067,0.9595,0.9452,0.9559,0.9452
0.9701,0.9444,0.9444,0.9571,0.9714,0.9595,0.9342,0.9589,1.0,0.9855,1.0,0.9859
0.9683,0.9275,0.9014,0.9577,0.9706,0.9452,0.9079,0.9577,0.9412,0.9706,0.9706,0.9577
1.0,0.8256,0.8046,0.9459,0.9342,0.878,0.8295,0.9241,0.9333,0.9,0.9114,0.9726
0.9508,0.8732,0.8375,0.9275,0.9155,0.9054,0.8659,0.9577,0.9706,0.9851,0.9714,0.9571
