Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.8628,0.8726,0.8531,0.7638,0.9058,0.9383,0.9205,0.9481,0.9635,0.9562,0.9269,0.8888
0.7413,0.854,0.7946,0.8505,0.9065,0.9274,0.9091,0.875,0.9091,0.9073,0.9073,0.9231
0.9301,0.8339,0.8558,0.924,0.9108,0.9476,0.9615,0.9449,0.9336,0.8794,0.8741,0.9117
0.8121,0.8846,0.9668,0.9274,0.9615,0.9432,0.965,0.9633,0.9091,0.9563,0.9563,0.9292
0.8189,0.7865,0.8355,0.8405,0.9286,0.8762,0.8663,0.912,0.9145,0.9045,0.9336,0.8987
0.8563,0.8796,0.9252,0.6977,0.9452,0.9601,0.9468,0.912,0.9444,0.9086,0.9385,0.907
0.9302,0.7998,0.9261,0.936,0.9701,0.9701,0.985,0.9718,0.9551,0.9302,0.9219,0.9651
0.8846,0.701,0.8829,0.9493,0.9419,0.9402,0.9518,0.9419,0.9169,0.8937,0.9502,0.9045
0.7932,0.7492,0.8787,0.7674,0.8306,0.8065,0.8821,0.8671,0.8331,0.8762,0.8231,0.8281
0.8837,0.8862,0.8447,0.8812,0.9236,0.8862,0.9419,0.9186,0.9145,0.9784,0.9427,0.9336
0.7776,0.8766,0.8417,0.832,0.9537,0.9221,0.9221,0.9286,0.8685,0.9196,0.9302,0.9367
0.8619,0.6897,0.8741,0.8558,0.9231,0.9327,0.9336,0.9493,0.8654,0.8094,0.9152,0.8479
0.9187,0.7448,0.9449,0.8837,0.9808,0.9878,0.9755,0.9668,0.9388,0.9755,0.9825,0.965
0.9895,0.8671,0.9537,0.9205,0.9668,0.9843,0.958,0.9668,0.9388,0.9843,0.9589,0.9598
0.985,0.902,0.9012,0.8422,0.9551,0.9485,0.9493,0.9535,0.9659,0.9402,0.9485,0.9269
0.8123,0.8447,0.7741,0.8762,0.9045,0.8779,0.8663,0.8663,0.8854,0.941,0.9286,0.8945
0.8555,0.8671,0.9003,0.7957,0.9136,0.9369,0.9535,0.9302,0.912,0.8654,0.9452,0.9136
0.8297,0.7849,0.8248,0.8804,0.8945,0.9203,0.9003,0.9045,0.8895,0.863,0.9145,0.8779
0.8945,0.7442,0.8414,0.7849,0.8439,0.8621,0.8779,0.8688,0.8746,0.858,0.9286,0.8513
0.912,0.8223,0.9028,0.7168,0.9502,0.9734,0.9543,0.9419,0.9336,0.9618,0.9618,0.9153
0.9302,0.9188,0.9018,0.7873,0.9351,0.9497,0.9497,0.9172,0.8994,0.8141,0.9399,0.8831
0.8392,0.8112,0.8584,0.7465,0.9476,0.9528,0.9493,0.9414,0.9808,0.9371,0.9668,0.951
0.9196,0.9231,0.9117,0.8252,0.9843,0.9143,0.9126,0.9178,0.9196,0.9685,0.9441,0.9458
0.8584,0.7448,0.9082,0.9021,0.9143,0.9073,0.9318,0.9135,0.9563,0.8811,0.917,0.9336
0.8679,0.7957,0.8389,0.8239,0.9369,0.9601,0.9286,0.9136,0.9502,0.9286,0.9228,0.9344
0.9635,0.858,0.8331,0.9684,0.9551,0.9659,0.961,0.9801,0.9701,0.912,0.9576,0.9145
0.8355,0.8156,0.8563,0.7218,0.9053,0.9336,0.9269,0.8671,0.9551,0.8746,0.9402,0.9319
0.789,0.8488,0.9095,0.8497,0.8621,0.8671,0.8962,0.9053,0.8488,0.9286,0.8953,0.8953
0.7915,0.7425,0.902,0.7467,0.9003,0.858,0.9078,0.9045,0.8463,0.8355,0.912,0.907
0.8713,0.8239,0.8887,0.8422,0.9186,0.8945,0.9136,0.9161,0.8638,0.8796,0.892,0.9493
0.8766,0.8506,0.7898,0.7719,0.8669,0.9083,0.9067,0.9131,0.9034,0.9359,0.8506,0.9481
0.9065,0.7185,0.9056,0.7823,0.9615,0.9755,0.9528,0.9371,0.9283,0.9318,0.9554,0.9003
0.9476,0.8129,0.9231,0.8234,0.9502,0.9152,0.9598,0.9414,0.9266,0.9615,0.9283,0.9108
0.8348,0.833,0.8453,0.8584,0.8601,0.896,0.9021,0.8759,0.8663,0.8899,0.8899,0.8741
0.7857,0.6877,0.755,0.853,0.8738,0.8762,0.907,0.858,0.8472,0.8596,0.8829,0.8937
0.9485,0.7442,0.9003,0.8688,0.9352,0.9502,0.9186,0.9369,0.9502,0.9037,0.9203,0.887
0.9219,0.8513,0.858,0.8505,0.9684,0.9643,0.9676,0.9485,0.9394,0.9518,0.961,0.9817
0.9211,0.8422,0.8862,0.858,0.9402,0.9302,0.9618,0.9601,0.9352,0.9336,0.8679,0.9153
0.8538,0.8945,0.9369,0.9444,0.9784,0.9767,0.9784,0.9502,0.9435,0.9734,0.9734,0.9734
0.9344,0.7824,0.8497,0.9161,0.9385,0.9186,0.9319,0.8962,0.9012,0.8837,0.8953,0.9169
0.8807,0.7687,0.9115,0.8458,0.9148,0.8653,0.9075,0.9067,0.9083,0.931,0.961,0.8872
0.8287,0.7133,0.8916,0.6451,0.9143,0.8969,0.9371,0.9266,0.8942,0.9108,0.9371,0.9205
0.7841,0.7876,0.8514,0.8872,0.9091,0.9003,0.9213,0.8977,0.9301,0.8794,0.9003,0.9108
0.8549,0.7605,0.8995,0.8724,0.9266,0.9038,0.9458,0.9248,0.9047,0.9266,0.8969,0.8654
0.9369,0.8762,0.838,0.9593,0.9352,0.9585,0.9585,0.9568,0.9651,0.9169,0.9568,0.8995
0.8248,0.8953,0.8497,0.8762,0.8821,0.8804,0.907,0.8738,0.8887,0.9377,0.9169,0.8704
0.8729,0.8488,0.9153,0.9169,0.9684,0.9734,0.9734,0.9734,0.9776,0.9635,0.9751,0.9718
0.8098,0.7874,0.8098,0.8879,0.8953,0.9336,0.9585,0.9452,0.8995,0.9037,0.8945,0.9269
0.9502,0.8463,0.9385,0.9909,0.9452,0.9784,0.9635,0.9718,0.9161,0.9676,0.9618,0.9601
0.9369,0.8364,0.8654,0.7309,0.9161,0.8912,0.9302,0.8987,0.9377,0.9485,0.9261,0.9551
0.6794,0.6997,0.8263,0.5828,0.7914,0.8133,0.8174,0.8133,0.7873,0.8815,0.8515,0.8036
0.8855,0.8444,0.7788,0.9143,0.924,0.9423,0.9143,0.9248,0.8925,0.9012,0.9196,0.9563
0.7614,0.792,0.8322,0.8182,0.9318,0.8531,0.8724,0.8706,0.8663,0.8776,0.9336,0.8698
0.7605,0.8776,0.9476,0.7981,0.9056,0.924,0.9563,0.9493,0.9187,0.9371,0.8785,0.9563
0.8987,0.7683,0.8879,0.897,0.9419,0.9352,0.9161,0.9435,0.9286,0.9037,0.9402,0.9037
0.8306,0.8505,0.9037,0.7973,0.8987,0.8895,0.907,0.8987,0.892,0.9061,0.8779,0.8779
0.8821,0.9103,0.8904,0.9236,0.9601,0.9568,0.9751,0.99,0.9344,0.9294,0.8646,0.9535
0.8953,0.9053,0.7841,0.9111,0.9269,0.9593,0.9518,0.9302,0.9402,0.9003,0.9111,0.9294
0.8372,0.8696,0.9444,0.7708,0.9884,0.9651,0.9701,0.9435,0.9551,0.9684,0.9518,0.9635
0.8181,0.8596,0.7749,0.8156,0.9635,0.9618,0.9468,0.9302,0.9568,0.9452,0.9302,0.9618
0.8425,0.7833,0.8401,0.8539,0.8653,0.8636,0.8839,0.8709,0.8742,0.9123,0.849,0.9456
0.7972,0.854,0.7727,0.8951,0.8724,0.9213,0.8829,0.8837,0.8663,0.8007,0.9388,0.8566
0.9231,0.8558,0.8531,0.847,0.9213,0.9537,0.9502,0.9362,0.9292,0.9563,0.9939,0.9362
0.9371,0.6906,0.8733,0.84,0.958,0.9545,0.9336,0.9589,0.9615,0.9318,0.9003,0.958
0.9294,0.9244,0.9568,0.9219,0.9651,0.9801,0.9767,0.9884,0.9551,0.9402,0.9718,0.9585
0.8447,0.8131,0.8538,0.8787,0.8854,0.9377,0.9618,0.9377,0.8887,0.8887,0.9037,0.8862
0.7807,0.7949,0.6395,0.9169,0.8738,0.892,0.9037,0.897,0.8488,0.814,0.8347,0.8704
0.8771,0.8696,0.9327,0.8563,0.9568,0.8895,0.9435,0.9244,0.9651,0.9236,0.9684,0.9751
0.9269,0.8314,0.8837,0.8671,0.9178,0.9527,0.9269,0.9352,0.8846,0.9311,0.9468,0.9651
0.8613,0.8671,0.7533,0.8846,0.9502,0.9028,0.9169,0.9161,0.9535,0.9651,0.9618,0.907
0.8701,0.8515,0.9286,0.6607,0.9123,0.8912,0.8945,0.8782,0.9107,0.8677,0.8864,0.8977
0.7308,0.8077,0.8435,0.7448,0.9615,0.9423,0.9336,0.951,0.8531,0.9091,0.9563,0.9449
0.9563,0.9047,0.9589,0.9152,0.9476,0.9414,0.9773,0.9738,0.9205,0.979,0.9493,0.9755
0.8514,0.8531,0.8776,0.8566,0.9423,0.9388,0.9301,0.9091,0.91,0.8374,0.951,0.8558
0.8953,0.9203,0.9194,0.8314,0.9394,0.9593,0.9651,0.9618,0.9767,0.9535,0.9551,0.9485
0.9028,0.8787,0.838,0.8613,0.9319,0.9161,0.8929,0.9061,0.9485,0.9684,0.9743,0.897
0.8754,0.765,0.9003,0.7583,0.8895,0.8746,0.8704,0.8223,0.907,0.8248,0.8472,0.8746
0.7583,0.6586,0.8098,0.637,0.8854,0.8571,0.8854,0.8879,0.8389,0.8821,0.8787,0.8646
0.9585,0.8439,0.7135,0.9186,0.9435,0.9651,0.9352,0.9444,0.9568,0.9161,0.907,0.9178
0.9228,0.8555,0.8463,0.7899,0.9435,0.9535,0.9402,0.9452,0.8978,0.9037,0.9269,0.9444
0.8011,0.8945,0.7419,0.7606,0.9318,0.9464,0.961,0.9367,0.9456,0.9659,0.9489,0.9367
0.9537,0.9598,0.8383,0.875,0.9441,0.9685,0.9808,0.9563,0.965,0.9563,0.9441,0.972
0.8706,0.8934,0.9056,0.7753,0.9441,0.9388,0.9178,0.9292,0.896,0.9073,0.9213,0.8829
0.8295,0.59,0.7911,0.757,0.8759,0.8969,0.9021,0.8741,0.8759,0.8689,0.9108,0.9222
0.9435,0.7824,0.8812,0.8704,0.9352,0.9294,0.9419,0.946,0.9178,0.8987,0.9003,0.9186
0.8771,0.8164,0.8704,0.863,0.9302,0.9352,0.9286,0.9551,0.9053,0.9252,0.8987,0.9394
0.9277,0.7882,0.9576,0.9593,0.9734,0.9585,0.9734,0.9801,0.9668,0.9684,0.9502,0.9585
0.8671,0.8173,0.8015,0.7226,0.9718,0.9734,0.9759,0.9485,0.9261,0.9435,0.9402,0.9269
0.8547,0.6919,0.8505,0.8547,0.8912,0.8696,0.8738,0.8679,0.8563,0.8422,0.789,0.8713
0.8289,0.8239,0.7807,0.9061,0.8829,0.8978,0.9286,0.9003,0.8754,0.8563,0.8987,0.9128
0.9359,0.8734,0.914,0.8685,0.9643,0.9237,0.9635,0.9683,0.9416,0.9545,0.9481,0.8994
0.8804,0.8596,0.9518,0.9261,0.9336,0.9543,0.9767,0.9535,0.9419,0.9834,0.9568,0.9211
0.853,0.8015,0.8073,0.8322,0.9169,0.8646,0.8646,0.8513,0.848,0.8987,0.8953,0.8721
0.9203,0.9792,0.9294,0.9635,0.9834,0.9817,0.9801,0.9751,0.9651,0.9352,0.9817,0.9751
0.8297,0.7176,0.7101,0.8405,0.9402,0.9402,0.951,0.8904,0.902,0.912,0.9269,0.9518
0.8322,0.6977,0.8762,0.7982,0.9136,0.8904,0.8654,0.8854,0.9352,0.8331,0.8306,0.843
0.9452,0.7699,0.8563,0.9012,0.9286,0.8904,0.907,0.9078,0.9502,0.8389,0.9053,0.8854
0.8689,0.7955,0.8907,0.7981,0.9598,0.9703,0.958,0.9607,0.9563,0.9257,0.9668,0.9589
0.8295,0.7902,0.8059,0.7614,0.8759,0.8575,0.8942,0.8505,0.924,0.8724,0.9545,0.9441
0.951,0.8129,0.8776,0.8934,0.9633,0.9598,0.9685,0.9633,0.9563,0.9082,0.9274,0.9449
0.8279,0.763,0.7744,0.6591,0.8019,0.8539,0.8945,0.8555,0.8036,0.8328,0.8141,0.8474
0.7858,0.7719,0.8741,0.7439,0.9143,0.9047,0.9038,0.8645,0.8164,0.8846,0.8995,0.8811
0.9318,0.8182,0.9187,0.917,0.9895,0.9773,0.986,0.9878,0.9572,0.9537,0.965,0.951
0.8191,0.8497,0.9266,0.9038,0.951,0.9406,0.958,0.951,0.9615,0.9108,0.9458,0.972
0.8663,0.8239,0.8148,0.8779,0.9635,0.9236,0.9568,0.9061,0.9186,0.9485,0.9269,0.9236
0.8663,0.8397,0.8447,0.9028,0.8754,0.9435,0.9435,0.9551,0.9269,0.907,0.8837,0.8862
0.8463,0.8023,0.9651,0.7267,0.9053,0.9535,0.9169,0.9061,0.9485,0.936,0.9186,0.8621
0.7674,0.7517,0.8854,0.7591,0.9086,0.9269,0.9153,0.9344,0.8929,0.9078,0.9012,0.9269
0.8654,0.8887,0.7442,0.902,0.897,0.8846,0.9261,0.9402,0.8547,0.9219,0.9078,0.907
0.8879,0.8073,0.8106,0.9003,0.8563,0.8762,0.9078,0.8912,0.8223,0.8289,0.9319,0.8214
0.8888,0.9148,0.9042,0.9083,0.9594,0.9708,0.9602,0.9545,0.9521,0.9643,0.9627,0.9481
0.8724,0.7832,0.8173,0.7552,0.9187,0.9073,0.9135,0.8802,0.9327,0.9231,0.9117,0.9108
0.8182,0.7535,0.8269,0.8042,0.8741,0.8497,0.854,0.861,0.8156,0.8558,0.8024,0.8689
0.8138,0.6984,0.8295,0.8811,0.9336,0.9082,0.9309,0.8881,0.9108,0.9065,0.9493,0.8864
0.8887,0.8173,0.8405,0.8638,0.9244,0.9419,0.9302,0.9286,0.8779,0.9468,0.9269,0.9302
0.8447,0.8505,0.8156,0.9103,0.9718,0.9635,0.9419,0.9668,0.9659,0.9551,0.9568,0.9369
0.9294,0.8829,0.9485,0.902,0.9635,0.9435,0.9385,0.951,0.9684,0.9801,0.9867,0.9718
0.8588,0.7915,0.848,0.9294,0.8837,0.9169,0.9286,0.9336,0.9228,0.8953,0.8455,0.8837
0.9468,0.8953,0.8995,0.8937,0.9485,0.9734,0.9635,0.9751,0.9502,0.9261,0.946,0.941
0.9385,0.8596,0.9327,0.912,0.9435,0.956,0.9502,0.941,0.9493,0.9668,0.9551,0.9568
0.8222,0.8149,0.6258,0.8458,0.8896,0.9107,0.9237,0.8718,0.8864,0.901,0.8815,0.901
0.9161,0.7657,0.9353,0.8182,0.9615,0.972,0.9825,0.9406,0.9738,0.9913,0.9563,0.9668
0.8767,0.8191,0.8129,0.9178,0.9388,0.8829,0.9248,0.9021,0.9161,0.9003,0.9021,0.8505
0.8147,0.8217,0.8059,0.6809,0.8741,0.8706,0.8759,0.8934,0.8453,0.8479,0.8191,0.9038
0.8746,0.6603,0.7865,0.8447,0.9468,0.9219,0.9319,0.9568,0.9078,0.9169,0.8522,0.8613
0.9668,0.9568,0.9709,0.9576,0.9867,0.9801,0.9817,0.9635,0.961,0.9502,0.9319,0.9485
0.8522,0.8929,0.8355,0.9136,0.9186,0.897,0.9452,0.907,0.8912,0.897,0.8405,0.8804
0.8173,0.8455,0.8787,0.8007,0.9551,0.907,0.9145,0.9003,0.9111,0.9269,0.936,0.9269
0.9236,0.7467,0.9045,0.8713,0.9336,0.9618,0.9252,0.9037,0.9701,0.9294,0.9178,0.9535
0.8837,0.8156,0.8846,0.9244,0.941,0.9211,0.9161,0.9037,0.907,0.907,0.8571,0.8654
0.8271,0.7841,0.7849,0.8726,0.9383,0.9416,0.9529,0.9318,0.9237,0.9594,0.9205,0.9513
0.9476,0.8698,0.9318,0.8654,0.9598,0.9563,0.986,0.9528,0.9231,0.9598,0.9738,0.9668
0.8601,0.7902,0.8899,0.7561,0.8724,0.8566,0.8934,0.8733,0.9038,0.8671,0.8715,0.8767
0.9152,0.9301,0.9493,0.882,0.9878,0.9878,0.972,0.9808,0.9878,0.979,0.9677,0.9668
0.946,0.8322,0.9369,0.9169,0.9236,0.9402,0.9551,0.9485,0.9336,0.9767,0.941,0.9527
0.8422,0.8148,0.8796,0.9003,0.9136,0.9103,0.9095,0.9169,0.8862,0.8704,0.8522,0.8588
0.794,0.7425,0.8164,0.8563,0.9219,0.8538,0.8497,0.9037,0.8721,0.8364,0.858,0.8223
0.8787,0.8779,0.8505,0.8696,0.9419,0.9601,0.9718,0.9493,0.9518,0.9502,0.9485,0.9568
0.9028,0.8904,0.799,0.8596,0.9643,0.9917,0.99,0.985,0.985,0.9767,0.9618,0.9635
0.7126,0.8264,0.8032,0.7716,0.9269,0.8746,0.8762,0.8754,0.8854,0.8945,0.8713,0.8696
0.7581,0.7524,0.7865,0.7971,0.9221,0.9229,0.9318,0.8904,0.8888,0.8977,0.9042,0.8961
0.8601,0.736,0.8191,0.7483,0.9318,0.9073,0.9318,0.9073,0.9266,0.8837,0.951,0.9038
0.7684,0.8365,0.9143,0.7281,0.9476,0.9379,0.9397,0.8497,0.875,0.9126,0.9598,0.8934
0.8191,0.7937,0.8698,0.7955,0.9178,0.9371,0.9458,0.9336,0.8872,0.8418,0.9196,0.8601
0.8555,0.8621,0.9477,0.9344,0.8854,0.9419,0.9286,0.9635,0.9327,0.9003,0.9086,0.9369
0.9003,0.8837,0.8032,0.8862,0.8978,0.9136,0.9319,0.9302,0.8588,0.9435,0.9601,0.907
0.8995,0.8762,0.9352,0.8663,0.9701,0.9917,0.9817,0.9718,0.9684,0.9635,0.9834,0.9585
0.8837,0.8123,0.838,0.8048,0.9302,0.9319,0.9543,0.9435,0.9535,0.9352,0.9527,0.9535
0.9269,0.8281,0.8588,0.814,0.9518,0.9684,0.9618,0.951,0.9252,0.8821,0.9344,0.946
0.8173,0.7542,0.8414,0.7035,0.838,0.8912,0.8522,0.8812,0.9103,0.9053,0.9153,0.8771
0.7062,0.8214,0.8636,0.8409,0.888,0.9221,0.9448,0.9497,0.9221,0.8539,0.8791,0.8856
0.9021,0.6879,0.9318,0.9528,0.8654,0.9318,0.9213,0.9537,0.9091,0.9196,0.8654,0.917
0.7955,0.8601,0.8977,0.9729,0.9467,0.9248,0.9318,0.9615,0.9274,0.958,0.9458,0.9589
0.91,0.8348,0.9161,0.8689,0.9283,0.958,0.9615,0.9309,0.9703,0.9615,0.9476,0.9633
0.8688,0.6586,0.9327,0.8397,0.9153,0.9203,0.9385,0.9045,0.902,0.8912,0.8738,0.8472
0.9194,0.9286,0.9219,0.9651,0.9419,0.9518,0.9734,0.9527,0.9169,0.9535,0.9751,0.9078
0.8264,0.8173,0.799,0.863,0.8563,0.8439,0.8804,0.8397,0.8937,0.9012,0.863,0.8812
0.8547,0.9385,0.9161,0.8796,0.9618,0.961,0.9734,0.9718,0.9618,0.9701,0.9701,0.9701
0.8746,0.7608,0.897,0.9103,0.9502,0.9028,0.9169,0.9527,0.961,0.9186,0.9103,0.8987
0.843,0.7949,0.8962,0.8223,0.887,0.9294,0.9344,0.9244,0.8522,0.8887,0.912,0.8904
0.7265,0.7037,0.8149,0.7841,0.9075,0.9253,0.9253,0.9351,0.8425,0.875,0.9253,0.8791
0.7762,0.7561,0.7946,0.6573,0.8794,0.8278,0.8479,0.847,0.8899,0.9301,0.9152,0.882
0.8444,0.8278,0.9563,0.7159,0.9537,0.9336,0.9589,0.9615,0.9143,0.9108,0.9073,0.9615
0.9073,0.9152,0.9476,0.8776,0.9528,0.9668,0.9773,0.9755,0.9607,0.9493,0.958,0.9773
0.9236,0.8447,0.9502,0.902,0.9635,0.9601,0.9585,0.9701,0.9701,0.9643,0.9983,0.9352
0.9659,0.961,0.9086,0.8829,0.9767,0.9684,0.9701,0.9635,0.9718,0.9643,0.9435,0.9701
0.9136,0.8405,0.8688,0.887,0.9037,0.9468,0.9668,0.9618,0.9502,0.9801,0.9086,0.9169
0.7068,0.6138,0.8522,0.5947,0.8206,0.8239,0.8688,0.8206,0.7882,0.8248,0.8738,0.8638
0.7924,0.843,0.8281,0.858,0.9219,0.9169,0.9003,0.8854,0.9252,0.9219,0.892,0.9419
0.8729,0.7575,0.9028,0.9252,0.8704,0.8779,0.907,0.9136,0.858,0.8829,0.8953,0.8654
0.7646,0.8352,0.8442,0.8636,0.8912,0.8945,0.9172,0.8945,0.8515,0.875,0.8636,0.8985
0.8531,0.833,0.8776,0.7456,0.9755,0.9292,0.951,0.9047,0.9441,0.9528,0.9283,0.9423
0.8217,0.8112,0.7264,0.6958,0.9038,0.8497,0.9205,0.8741,0.8794,0.854,0.8776,0.9161
0.8322,0.9476,0.8444,0.674,0.9476,0.9615,0.9773,0.9082,0.9755,0.9388,0.9406,0.9274
0.8007,0.7093,0.8048,0.7467,0.8455,0.8281,0.858,0.8854,0.8679,0.7417,0.8696,0.8023
0.8804,0.8231,0.8654,0.9103,0.9319,0.9452,0.9435,0.9319,0.9012,0.9502,0.9136,0.8821
0.9302,0.8364,0.9186,0.9311,0.9618,0.9452,0.9435,0.946,0.9684,0.912,0.9535,0.9452
0.794,0.8123,0.9402,0.7716,0.9668,0.9635,0.9701,0.9551,0.9701,0.9651,0.9884,0.9709
0.8405,0.853,0.9028,0.8248,0.9535,0.9651,0.9635,0.9385,0.9801,0.9203,0.9319,0.9402
0.9252,0.8289,0.8505,0.7359,0.9419,0.9352,0.9485,0.9518,0.9635,0.9651,0.9394,0.9385
0.8466,0.8287,0.78,0.7963,0.9334,0.9318,0.9481,0.9627,0.9545,0.9091,0.9659,0.9838
0.965,0.8767,0.8671,0.9371,0.9406,0.9353,0.9458,0.9476,0.9318,0.9143,0.9406,0.889
0.7972,0.8287,0.792,0.7264,0.8986,0.9502,0.9301,0.9283,0.9222,0.9423,0.9047,0.8785
0.9423,0.7587,0.7963,0.903,0.91,0.9073,0.9353,0.9187,0.9344,0.9126,0.8969,0.9108
0.8156,0.7774,0.9053,0.794,0.9801,0.9834,0.9684,0.9784,0.9618,0.9668,0.9751,0.9751
0.9145,0.858,0.9203,0.8297,0.9319,0.9086,0.9145,0.9369,0.9402,0.9319,0.9394,0.9261
0.8414,0.8389,0.8339,0.8821,0.8713,0.9286,0.9252,0.9452,0.8879,0.8887,0.9286,0.9311
0.8713,0.863,0.809,0.8862,0.9269,0.8854,0.8804,0.9086,0.951,0.9593,0.9178,0.9684
0.8704,0.8073,0.8787,0.8621,0.9402,0.9302,0.9302,0.9128,0.902,0.9128,0.9419,0.9203
0.8762,0.7907,0.8879,0.843,0.902,0.8588,0.9145,0.8854,0.9145,0.892,0.9053,0.8613
0.8506,0.664,0.914,0.8994,0.9334,0.9115,0.9351,0.9472,0.8945,0.8588,0.9107,0.892
0.7566,0.7807,0.8679,0.8081,0.9718,0.9294,0.9385,0.9236,0.8762,0.9037,0.9751,0.9252
0.9269,0.8671,0.8472,0.8729,0.8804,0.892,0.9061,0.8729,0.838,0.838,0.8787,0.8439
0.9311,0.9269,0.794,0.8364,0.9352,0.9277,0.9311,0.9493,0.9352,0.9568,0.9294,0.907
0.9302,0.853,0.8322,0.8671,0.9153,0.9402,0.9302,0.936,0.9053,0.9153,0.8547,0.8762
0.9269,0.7816,0.9327,0.7641,0.9419,0.9502,0.9502,0.9194,0.9618,0.9551,0.9551,0.9269
0.8472,0.8812,0.9319,0.8837,0.8904,0.9178,0.9427,0.9493,0.9169,0.9294,0.9302,0.9153
0.7369,0.7762,0.8339,0.9388,0.9091,0.8986,0.8934,0.9327,0.8505,0.8802,0.8942,0.8776
0.8287,0.8418,0.785,0.8007,0.9755,0.8986,0.9266,0.8864,0.9108,0.9353,0.9301,0.9441
0.9589,0.8785,0.8497,0.8531,0.9808,0.9615,0.9668,0.9808,0.9502,0.9003,0.903,0.9336
0.9042,0.888,0.9042,0.8596,0.9253,0.9164,0.914,0.9456,0.9278,0.9131,0.9464,0.9067
0.7749,0.8206,0.9053,0.8032,0.8654,0.9294,0.9045,0.9028,0.8721,0.9086,0.9269,0.902
0.9419,0.7591,0.7857,0.8729,0.9801,0.9676,0.9668,0.9635,0.9535,0.9551,0.9601,0.9402
0.7616,0.711,0.8248,0.8081,0.9286,0.9269,0.9402,0.9336,0.8397,0.8704,0.8962,0.892
0.8945,0.8804,0.8347,0.912,0.8821,0.9219,0.9269,0.9136,0.8821,0.9169,0.9103,0.8995
0.8065,0.7608,0.9568,0.8339,0.9369,0.9012,0.9145,0.9053,0.9568,0.9385,0.8588,0.9078
0.9668,0.7608,0.8713,0.8854,0.9402,0.9635,0.9635,0.9635,0.8987,0.8995,0.9535,0.9252
0.924,0.8881,0.8357,0.9222,0.9773,0.9563,0.9615,0.9747,0.965,0.9843,0.951,0.9633
0.8715,0.8969,0.8733,0.8226,0.9021,0.9161,0.9467,0.8365,0.9231,0.9187,0.9633,0.9126
0.7736,0.59,0.8357,0.8593,0.8601,0.8689,0.8811,0.8741,0.8671,0.8776,0.84,0.8427
0.8766,0.8839,0.9107,0.9253,0.9123,0.9188,0.9026,0.9318,0.901,0.914,0.8912,0.9099
0.9816,0.8706,0.9021,0.9038,0.9878,0.9677,0.993,0.9747,0.986,0.9913,0.9528,0.9755
0.9187,0.8357,0.9065,0.9143,0.9108,0.9545,0.9493,0.9493,0.9528,0.8837,0.9196,0.9397
0.7474,0.8042,0.764,0.6932,0.9108,0.9327,0.9301,0.8802,0.9379,0.8689,0.9257,0.9301
0.9111,0.7159,0.814,0.8654,0.9086,0.9252,0.9585,0.9244,0.9502,0.8131,0.8189,0.9136
0.9095,0.8879,0.961,0.9643,0.9668,0.951,0.9676,0.961,0.9659,0.9535,0.9518,0.9419
0.7791,0.9128,0.8289,0.7658,0.9045,0.8754,0.9319,0.8688,0.9427,0.8937,0.9169,0.9568
0.8472,0.8223,0.8887,0.7093,0.9037,0.907,0.9136,0.9145,0.9244,0.8347,0.9053,0.9012
0.8846,0.8347,0.8189,0.8148,0.9194,0.8804,0.8862,0.8746,0.9086,0.8953,0.8447,0.8887
0.9302,0.8463,0.8696,0.8962,0.9419,0.9527,0.9485,0.9551,0.9244,0.9286,0.9527,0.9601
0.8084,0.8644,0.8442,0.9148,0.9513,0.9724,0.9675,0.9545,0.9416,0.9481,0.9513,0.9481
0.8243,0.7806,0.7832,0.7072,0.8899,0.8418,0.8584,0.8584,0.771,0.8409,0.7885,0.8575
0.8042,0.7142,0.8453,0.8601,0.9196,0.8951,0.9336,0.8671,0.9545,0.8663,0.8444,0.9126
0.7657,0.778,0.875,0.8138,0.8846,0.7657,0.8427,0.8103,0.9441,0.9178,0.9371,0.9388
0.8962,0.9003,0.9311,0.9435,0.9385,0.9601,0.9701,0.9427,0.9319,0.9327,0.9601,0.8904
0.8563,0.7591,0.804,0.8962,0.9568,0.9635,0.9668,0.9618,0.9444,0.9801,0.9419,0.9535
0.9211,0.711,0.8455,0.7791,0.8671,0.9053,0.9352,0.9244,0.9003,0.8522,0.8821,0.8596
0.8895,0.8397,0.8389,0.8447,0.9236,0.892,0.9219,0.9601,0.8912,0.9153,0.9111,0.9095
0.8738,0.7566,0.8547,0.8397,0.8638,0.8738,0.9319,0.8846,0.946,0.8821,0.9419,0.902
0.809,0.8065,0.9003,0.7101,0.9784,0.9551,0.9635,0.961,0.9535,0.9452,0.9502,0.9244
0.8807,0.6972,0.7946,0.8157,0.8847,0.8953,0.8758,0.8701,0.8709,0.8669,0.8758,0.8295
0.9117,0.8802,0.9458,0.9572,0.9563,0.91,0.9685,0.972,0.965,0.8864,0.9292,0.951
0.778,0.8234,0.8531,0.9108,0.9301,0.924,0.9318,0.9449,0.9248,0.9266,0.9493,0.9283
0.868,0.7911,0.9231,0.6923,0.9493,0.9336,0.9371,0.9117,0.958,0.951,0.8698,0.9205
0.8223,0.8297,0.9003,0.7782,0.907,0.8987,0.9053,0.9153,0.8596,0.9103,0.9136,0.9086
0.8007,0.8804,0.8746,0.9252,0.9203,0.9194,0.9086,0.9319,0.8937,0.887,0.8638,0.8563
